id,first_name,height_feet,height_inches,last_name,position,team,weight_pounds,team_id
714,Lamont,,,Strothers,,POR,,25
715,Tracy,,,Moore,,DAL,,7
716,Jaren,,,Jackson,,GSW,,10
717,Ennis,,,Whatley,,POR,,25
718,Brian,,,Howard,,DAL,,7
719,Steve,,,Burtt,,PHX,,24
720,Cedric,,,Hunter,,CHA,,4
721,Stephen,,,Bardo,,SAS,,27
722,Cliff,,,T. Robinson,,LAL,,14
723,Derek,,,Strong,,WAS,,30
724,Bobby,,,Phills,,CLE,,6
725,Anthony,,,Avent,,MIL,,17
726,Lee,,,Mayberry,,MIL,,17
727,Todd,,,Day,,MIL,,17
728,Tony,,,Bennett,,CHA,,4
729,Brent,,,Price,,WAS,,30
730,Don,,,MacLean,,WAS,,30
731,Tom,,,Gugliotta,,WAS,,30
732,Walt,,,Williams,,SAC,,26
733,Lloyd,,,Daniels,,SAS,,27
734,Vinny,,,Del Negro,,SAS,,27
735,Shaquille,,,O'Neal,,ORL,,22
736,Adam,,,Keefe,,ATL,,1
737,Clar.,,,Weatherspoon,,PHI,,23
738,Robert,,,Horry,,HOU,,11
739,Chris,,,Smith,,MIN,,18
740,Christian,,,Laettner,,MIN,,18
741,Gundars,,,Vetra,,MIN,,18
742,Corey,,,Williams,,CHI,,5
743,Elmore,,,Spencer,,LAC,,13
744,Anthony,,,Peeler,,LAL,,14
745,Duane,,,Cooper,,LAL,,14
746,John,,,Crotty,,UTA,,29
747,Stephen,,,Howard,,UTA,,29
748,Byron,,,Houston,,GSW,,10
749,Keith,,,Jennings,,GSW,,10
750,Latrell,,,Sprewell,,GSW,,10
751,Bryant,,,Stith,,DEN,,8
752,LaPhonso,,,Ellis,,DEN,,8
753,Matt,,,Othick,,SAS,,27
754,Sam,,,Mack,,SAS,,27
755,Anthony,,,Pullard,,MIL,,17
756,Malik,,,Sealy,,IND,,12
757,Hubert,,,Davis,,NYK,,20
758,Sean,,,Rooks,,DAL,,7
759,Walter,,,Bond,,DAL,,7
760,Harold,,,Miner,,MIA,,16
761,Oliver,,,Miller,,PHX,,24
762,Lorenzo,,,Williams,,CHA,,4
763,Dave,,,Johnson,,POR,,25
764,Reggie,,,Smith,,POR,,25
765,Tracy,,,Murray,,POR,,25
766,Robert,,,Werdann,,DEN,,8
767,Alex,,,Stivrins,,PHX,,24
768,Frank,,,Johnson,,PHX,,24
769,Randy,,,Woods,,LAC,,13
770,Litterial,,,Green,,ORL,,22
771,Alonzo,,,Mourning,,CHA,,4
772,Alex,,,Blackwell,,LAL,,14
773,Isaiah,,,Morris,,DET,,9
774,Doug,,,Overton,,WAS,,30
775,Eric,,,Anderson,,NYK,,20
776,Tim,,,Kempton,,PHX,,24
777,Stan,,,Kimbrough,,SAC,,26
778,Jay,,,Guidinger,,CLE,,6
779,Gary,,,Plummer,,DEN,,8
780,Matt,,,Geiger,,MIA,,16
781,Marcus,,,Webb,,BOS,,2
782,Jojo,,,English,,CHI,,5
783,Marlon,,,Maxey,,MIN,,18
784,Jon,,,Barry,,MIL,,17
785,Richard,,,Dumas,,PHX,,24
786,Radisav,,,Curcic,,DAL,,7
787,Andre,,,Spencer,,ATL,,1
788,Dexter,,,Cambridge,,DAL,,7
789,Joe,,,Courtney,,CHI,,5
790,Duane,,,Washington,,LAC,,13
791,Melvin,,,Newbern,,DET,,9
792,Ricky,,,Blanton,,CHI,,5
793,Jim,,,Jackson,,DAL,,7
794,Barry,,,Stevens,,GSW,,10
795,Doug,,,Christie,,LAL,,14
796,Pat,,,Durham,,GSW,,10
797,Thomas,,,Jordan,,PHI,,23
798,Gary,,,Alexander,,MIA,,16
799,Anfernee,,,Hardaway,,ORL,,22
800,Keith,,,Tower,,ORL,,22
801,Chris,,,Whitney,,SAS,,27
802,Josh,,,Grant,,GSW,,10
803,Bobby,,,Hurley,,SAC,,26
804,Mike,,,Peplowski,,SAC,,26
805,Darnell,,,Mee,,DEN,,8
806,Rodney,,,Rogers,,DEN,,8
807,Acie,,,Earl,,BOS,,2
808,Dino,,,Radja,,BOS,,2
809,Chris,,,Mills,,CLE,,6
810,Vin,,,Baker,,MIL,,17
811,Antonio,,,Harvey,,LAL,,14
812,Nick,,,Van Exel,,LAL,,14
813,Terry,,,Dehere,,LAC,,13
814,James,,,Robinson,,POR,,25
815,Corie,,,Blount,,CHI,,5
816,Toni,,,Kukoc,,CHI,,5
817,Michael,,,Curry,,PHI,,23
